ProjectAccession,InclusionReason
PXD042282,mzIdentml 1.1.0
PXD043595,mzIdentml 1.1.0
PXD051742,mix of 1.1.0 and 1.2.0. For 1.2.0 files “SpectrumIdFormatError: MS:1000776 not supported for mzML!”
PXD061667,"Invalid 1.2.0 from xiFDR v 2.3.2. Empty CV params, e.g. line 1774."
PXD063329,mzIdentml 1.1.0
PXD064792,"large blocks of garbage in mzid, e.g. line 8998 and following of 651005_r1_BCOR_A_WT_IP.mzid"
PXD065365,mzIdentml 1.1.0
PXD065516,invalid -1 for link site of non-cov in T8_15_combined.mzid
PXD065858,schema invalid xiFDR ouput – e.g. empty cv param on line 1303 of E250221_AMC_rpn1_IP_C1_IV_Dose_pepSEC_A3toB6_ReSearchWithPeaks_Xi1.8_filt_PSU_OR_5SU_BTWNS.mzid
PXD065859,schema invalid xiFDR ouput – ln.103 E250317_AMC_HSA_C1_IV_Enriched_Uncleaved_pepSEC_A4toB6_ReSearchedWithPeaks_Xi1.8.annotations_filt_PS_OR_3S.mzid
PXD065869,duplicate
PXD065870,schema invalid xiFDR ouput – ln. 108 E240906_AMC_HSA_VSD_IV_pepSEC_A5toB6_Xi1.8_ManFilt_3CC_5Tot.mzid
PXD004473,"Missing Seq, but is valid. (Also no FASTA to get Seq’s from?)"
PXD005786,SEQUEST mzid 1.1.0 – blocks of garbage again
PXD008680,refers to non-existent mgf files (e.g. 010714 CytoD Neo ExpC.mgf)
PXD012759,1.1.0 (valid)
PXD014359,"Mzid 1.2.0 from OpenPepXL, SpectraData says file format is mzml but location point to .raw file"
PXD014520,"Mzid 1.2.0 from OpenPepXL (names of some dir’s make it look like xiSearch), SpectraData says file format is mzml but location point to .raw file"
PXD014523,"File xQuest_BSA_PDH_HCD.mzid is schema invalid. Error: Element '{http://psidev.info/psi/pi/mzIdentML/1.2}cvParam': No match found for key-sequence ['MS'] of keyref '{http://psidev.info/psi/pi/mzIdentML/1.2}FK_CVlist5'., Line: 5044"
PXD015037,Something wrong with spectra referencing? It doesn’t find the spectra in the peak list file?
PXD018935,SpectrumIdFormatError: MS:1000776 not supported for mzML!
PXD026603,Error reading peak list file GPR158-RGS7-Gb5_CONSENSUS.mzML: FileNotFoundError. All peaklists missing?
PXD027655,Missing peak lists
PXD001677,"Validating file result_DynamicDBReduction_Plus_Report_Ions.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File result_DynamicDBReduction_Plus_Report_Ions.mzid is schema invalid."
PXD003718,"Validating file Bait_ORF102108andwildtype_scaffold_mascot_giardia.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File Bait_ORF102108andwildtype_scaffold_mascot_giardia.mzid is schema invalid."
PXD004583,"Validating file 20131210sr_5587_wt_rev_2F192202.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 20131210sr_5587_wt_rev_2F192202.mzid is schema invalid."
PXD004722,"Validating file p2.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File p2.mzid is schema invalid."
PXD006574,"Validating file dimerResultsToPRIDE.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File dimerResultsToPRIDE.mzid is schema invalid."
PXD006938,"Validating file 2_NFS1-Fxn-IscU_MarkleyF016506.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File 2_NFS1-Fxn-IscU_MarkleyF016506.mzid is schema invalid."
PXD007716,"Validating file F074077.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File F074077.mzid is schema invalid."
PXD007836,"Validating file peptides_1_1_0.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File peptides_1_1_0.mzid is schema invalid."
PXD009641,"Validating file ID15074_01_E749_3008_120414F054531.mzid. | Sorry, we're only supporting 1.2.0 and 1.3.0 (the ones that contain crosslinks). Rejected schema file: mzIdentML1.1.0.xsd | File ID15074_01_E749_3008_120414F054531.mzid is schema invalid."
